"Step","deberta-mlm-large_prompt-based-balanced - eval/accuracy","deberta-mlm-large_prompt-based-balanced - eval/accuracy__MIN","deberta-mlm-large_prompt-based-balanced - eval/accuracy__MAX","deberta-large_prompt-based-balanced - eval/accuracy","deberta-large_prompt-based-balanced - eval/accuracy__MIN","deberta-large_prompt-based-balanced - eval/accuracy__MAX","mlm-large_prompt-based-balanced - eval/accuracy","mlm-large_prompt-based-balanced - eval/accuracy__MIN","mlm-large_prompt-based-balanced - eval/accuracy__MAX","mlm-large_prompt-based - eval/accuracy","mlm-large_prompt-based - eval/accuracy__MIN","mlm-large_prompt-based - eval/accuracy__MAX","mlm-large_fine-tune - eval/accuracy","mlm-large_fine-tune - eval/accuracy__MIN","mlm-large_fine-tune - eval/accuracy__MAX","mlm_fine-tune - eval/accuracy","mlm_fine-tune - eval/accuracy__MIN","mlm_fine-tune - eval/accuracy__MAX"
"0","","","","","","","","","","","","","0.0014680028129395218","0.0014680028129395218","0.0014680028129395218","0","0","0"
"2","","","","","","","","","","","","","0.3390946269506396","0.3390946269506396","0.3390946269506396","0","0","0"
"4","","","","","","","","","","","","","0.4041846661308686","0.4041846661308686","0.4041846661308686","0.2349059841939589","0.2349059841939589","0.2349059841939589"
"6","","","","","","","","","","","","","0.4299061097716161","0.4299061097716161","0.4299061097716161","0.3148677667269439","0.3148677667269439","0.3148677667269439"
"8","","","","","","","","","","","","","0.443158738530574","0.443158738530574","0.443158738530574","0.37490770042194094","0.37490770042194094","0.37490770042194094"
"10","","","","","","","","","","","","","0.4463668481073545","0.4463668481073545","0.4463668481073545","0.3753112232938183","0.3753112232938183","0.3753112232938183"
"12","","","","","","","","","","","","","0.44032989250552546","0.44032989250552546","0.44032989250552546","0.3796319318866787","0.3796319318866787","0.3796319318866787"
"14","","","","","","","","","","","","","0.45524244859687896","0.45524244859687896","0.45524244859687896","0.4034695013729824","0.4034695013729824","0.4034695013729824"
"16","","","","","","","","","","","","","0.44188956700823795","0.44188956700823795","0.44188956700823795","0.411934063358114","0.411934063358114","0.411934063358114"
"18","","","","","","","","","","","","","0.4465574978233206","0.4465574978233206","0.4465574978233206","0.39361898064429707","0.39361898064429707","0.39361898064429707"
"20","","","","","","","","","","","","","0.44257417453619985","0.44257417453619985","0.44257417453619985","0.4138581223628692","0.4138581223628692","0.4138581223628692"
"21","0","0","0","0.10465767530640947","0.10465767530640947","0.10465767530640947","0.23371289180229055","0.20425498961891367","0.2631707939856674","0.2969319285379412","0.2969319285379412","0.2969319285379412","","","","","",""
"22","","","","","","","","","","","","","0.43485952046078635","0.43485952046078635","0.43485952046078635","0.41114459848637064","0.41114459848637064","0.41114459848637064"
"24","","","","","","","","","","","","","0.43763625175808724","0.43763625175808724","0.43763625175808724","0.406514968856741","0.406514968856741","0.406514968856741"
"26","","","","","","","","","","","","","0.4404814419054925","0.4404814419054925","0.4404814419054925","0.40761398265353965","0.40761398265353965","0.40761398265353965"
"28","","","","","","","","","","","","","0.4416308960612758","0.4416308960612758","0.4416308960612758","0.4090353124372112","0.4090353124372112","0.4090353124372112"
"30","","","","","","","","","","","","","0.43678441664992296","0.43678441664992296","0.43678441664992296","0.40093555354631305","0.40093555354631305","0.40093555354631305"
"32","","","","","","","","","","","","","0.4424781076284241","0.4424781076284241","0.4424781076284241","0.41249665126247403","0.41249665126247403","0.41249665126247403"
"34","","","","","","","","","","","","","0.4371190811064229","0.4371190811064229","0.4371190811064229","0.402276095037171","0.402276095037171","0.402276095037171"
"36","","","","","","","","","","","","","0.43579674837586224","0.43579674837586224","0.43579674837586224","0.4070986956667336","0.4070986956667336","0.4070986956667336"
"38","","","","","","","","","","","","","0.4351847856199122","0.4351847856199122","0.4351847856199122","0.4057525031813007","0.4057525031813007","0.4057525031813007"
"40","","","","","","","","","","","","","0.4326652601969057","0.4326652601969057","0.4326652601969057","0.4027478484361396","0.4027478484361396","0.4027478484361396"
"42","","","","","","","","","","","","","0.43493214620588033","0.43493214620588033","0.43493214620588033","0.3994032968320943","0.3994032968320943","0.3994032968320943"
"43","0.1521134719710669","0.1521134719710669","0.1521134719710669","0.3469179056995513","0.3469179056995513","0.3469179056995513","0.39326945616502584","0.3907809255910522","0.3957579867389994","0.41543265688835307","0.41543265688835307","0.41543265688835307","","","","","",""
"44","","","","","","","","","","","","","0.4347563565126857","0.4347563565126857","0.4347563565126857","0.4003528732167973","0.4003528732167973","0.4003528732167973"
"46","","","","","","","","","","","","","0.43343588842006564","0.43343588842006564","0.43343588842006564","0.39627411091018694","0.39627411091018694","0.39627411091018694"
"48","","","","","","","","","","","","","0.4331776170383766","0.4331776170383766","0.4331776170383766","0.40094246031746034","0.40094246031746034","0.40094246031746034"
"50","","","","","","","","","","","","","0.43454976223963565","0.43454976223963565","0.43454976223963565","0.39988467785145004","0.39988467785145004","0.39988467785145004"
"52","","","","","","","","","","","","","0.4340141735315786","0.4340141735315786","0.4340141735315786","0.39952238631036097","0.39952238631036097","0.39952238631036097"
"54","","","","","","","","","","","","","0.4332355920567946","0.4332355920567946","0.4332355920567946","0.401238195700221","0.401238195700221","0.401238195700221"
"56","","","","","","","","","","","","","0.4351416515973478","0.4351416515973478","0.4351416515973478","0.40132526287589587","0.40132526287589587","0.40132526287589587"
"58","","","","","","","","","","","","","0.43859043265688835","0.43859043265688835","0.43859043265688835","0.4012499162815618","0.4012499162815618","0.4012499162815618"
"65","0.32558247103342036","0.32558247103342036","0.32558247103342036","0.40480250820440694","0.40480250820440694","0.40480250820440694","0.4336556493202063","0.42989794722389657","0.43741335141651605","0.4440788041658295","0.4440788041658295","0.4440788041658295","","","","","",""
