"Step","deberta-mlm-large_prompt-based-balanced - eval/loss","deberta-mlm-large_prompt-based-balanced - eval/loss__MIN","deberta-mlm-large_prompt-based-balanced - eval/loss__MAX","deberta-large_mlm - eval/loss","deberta-large_mlm - eval/loss__MIN","deberta-large_mlm - eval/loss__MAX","deberta-large_prompt-based-balanced - eval/loss","deberta-large_prompt-based-balanced - eval/loss__MIN","deberta-large_prompt-based-balanced - eval/loss__MAX","mlm-large_prompt-based-balanced - eval/loss","mlm-large_prompt-based-balanced - eval/loss__MIN","mlm-large_prompt-based-balanced - eval/loss__MAX","mlm-large_prompt-based - eval/loss","mlm-large_prompt-based - eval/loss__MIN","mlm-large_prompt-based - eval/loss__MAX","mlm-large_fine-tune - eval/loss","mlm-large_fine-tune - eval/loss__MIN","mlm-large_fine-tune - eval/loss__MAX","mlm_fine-tune - eval/loss","mlm_fine-tune - eval/loss__MIN","mlm_fine-tune - eval/loss__MAX"
"0","","","","","","","","","","","","","","","","0.3983302414417267","0.3983302414417267","0.3983302414417267","0.41234713792800903","0.41234713792800903","0.41234713792800903"
"2","","","","","","","","","","","","","","","","0.3388311266899109","0.3388311266899109","0.3388311266899109","0.4011126756668091","0.4011126756668091","0.4011126756668091"
"4","","","","","","","","","","","","","","","","0.31996649503707886","0.31996649503707886","0.31996649503707886","0.36896970868110657","0.36896970868110657","0.36896970868110657"
"6","","","","","","","","","","","","","","","","0.31197720766067505","0.31197720766067505","0.31197720766067505","0.3472435474395752","0.3472435474395752","0.3472435474395752"
"8","","","","","","","","","","","","","","","","0.31139177083969116","0.31139177083969116","0.31139177083969116","0.3364246189594269","0.3364246189594269","0.3364246189594269"
"10","","","","","","","","","","","","","","","","0.3144485652446747","0.3144485652446747","0.3144485652446747","0.33253416419029236","0.33253416419029236","0.33253416419029236"
"12","","","","","","","","","","","","","","","","0.31880083680152893","0.31880083680152893","0.31880083680152893","0.33044347167015076","0.33044347167015076","0.33044347167015076"
"14","","","","","","","","","","","","","","","","0.32569819688796997","0.32569819688796997","0.32569819688796997","0.33128622174263","0.33128622174263","0.33128622174263"
"16","","","","","","","","","","","","","","","","0.33333835005760193","0.33333835005760193","0.33333835005760193","0.3287559449672699","0.3287559449672699","0.3287559449672699"
"18","","","","","","","","","","","","","","","","0.3395100235939026","0.3395100235939026","0.3395100235939026","0.3343237042427063","0.3343237042427063","0.3343237042427063"
"20","","","","","","","","","","","","","","","","0.3470499813556671","0.3470499813556671","0.3470499813556671","0.33586585521698","0.33586585521698","0.33586585521698"
"21","0.5063629150390625","0.5063629150390625","0.5063629150390625","3.7045629024505615","3.7045629024505615","3.7045629024505615","0.4637625515460968","0.4637625515460968","0.4637625515460968","0.35997939109802246","0.35711416602134705","0.3628446161746979","0.3538871705532074","0.3538871705532074","0.3538871705532074","","","","","",""
"22","","","","","","","","","","","","","","","","0.3559432625770569","0.3559432625770569","0.3559432625770569","0.3352958858013153","0.3352958858013153","0.3352958858013153"
"24","","","","","","","","","","","","","","","","0.36229702830314636","0.36229702830314636","0.36229702830314636","0.34250548481941223","0.34250548481941223","0.34250548481941223"
"26","","","","","","","","","","","","","","","","0.36967992782592773","0.36967992782592773","0.36967992782592773","0.3470292091369629","0.3470292091369629","0.3470292091369629"
"28","","","","","","","","","","","","","","","","0.37927117943763733","0.37927117943763733","0.37927117943763733","0.34824690222740173","0.34824690222740173","0.34824690222740173"
"30","","","","","","","","","","","","","","","","0.3825993537902832","0.3825993537902832","0.3825993537902832","0.3524536192417145","0.3524536192417145","0.3524536192417145"
