"Step","deberta-mlm-large_prompt-based-pure-fs-balanced - eval/macro_precision","deberta-mlm-large_prompt-based-pure-fs-balanced - eval/macro_precision__MIN","deberta-mlm-large_prompt-based-pure-fs-balanced - eval/macro_precision__MAX","deberta-mlm-large_prompt-based-pure-balanced - eval/macro_precision","deberta-mlm-large_prompt-based-pure-balanced - eval/macro_precision__MIN","deberta-mlm-large_prompt-based-pure-balanced - eval/macro_precision__MAX","deberta-mlm-large_prompt-based-balanced - eval/macro_precision","deberta-mlm-large_prompt-based-balanced - eval/macro_precision__MIN","deberta-mlm-large_prompt-based-balanced - eval/macro_precision__MAX","deberta-large_prompt-based-balanced - eval/macro_precision","deberta-large_prompt-based-balanced - eval/macro_precision__MIN","deberta-large_prompt-based-balanced - eval/macro_precision__MAX","mlm-large_prompt-based-balanced - eval/macro_precision","mlm-large_prompt-based-balanced - eval/macro_precision__MIN","mlm-large_prompt-based-balanced - eval/macro_precision__MAX","mlm-large_prompt-based - eval/macro_precision","mlm-large_prompt-based - eval/macro_precision__MIN","mlm-large_prompt-based - eval/macro_precision__MAX","mlm-large_fine-tune - eval/macro_precision","mlm-large_fine-tune - eval/macro_precision__MIN","mlm-large_fine-tune - eval/macro_precision__MAX","mlm_fine-tune - eval/macro_precision","mlm_fine-tune - eval/macro_precision__MIN","mlm_fine-tune - eval/macro_precision__MAX"
"0","","","","","","","","","","","","","","","","","","","1","1","1","NaN","",""
"2","","","","","","","","","","","","","","","","","","","0.6807540227487497","0.6807540227487497","0.6807540227487497","NaN","",""
"4","","","","","","","","","","","","","","","","","","","0.6900395871239141","0.6900395871239141","0.6900395871239141","0.6693378056549726","0.6693378056549726","0.6693378056549726"
"6","","","","","","","","","","","","","","","","","","","0.6856554345618049","0.6856554345618049","0.6856554345618049","0.7271101287307976","0.7271101287307976","0.7271101287307976"
"8","","","","","","","","","","","","","","","","","","","0.6238407197577155","0.6238407197577155","0.6238407197577155","0.6965734227911999","0.6965734227911999","0.6965734227911999"
"10","","","","","","","","","","","","","","","","","","","0.6198101889061223","0.6198101889061223","0.6198101889061223","0.6801874886959896","0.6801874886959896","0.6801874886959896"
"12","","","","","","","","","","","","","","","","","","","0.6107215793741128","0.6107215793741128","0.6107215793741128","0.6595876532705021","0.6595876532705021","0.6595876532705021"
"14","","","","","","","","","","","","","","","","","","","0.6139930878000984","0.6139930878000984","0.6139930878000984","0.5651769883368146","0.5651769883368146","0.5651769883368146"
"16","","","","","","","","","","","","","","","","","","","0.5857059486090865","0.5857059486090865","0.5857059486090865","0.5688740756290849","0.5688740756290849","0.5688740756290849"
"18","","","","","","","","","","","","","","","","","","","0.6165198246223985","0.6165198246223985","0.6165198246223985","0.5652633570778476","0.5652633570778476","0.5652633570778476"
