"Step","deberta-mlm-large_prompt-based-pure-fs-balanced - eval/macro_recall","deberta-mlm-large_prompt-based-pure-fs-balanced - eval/macro_recall__MIN","deberta-mlm-large_prompt-based-pure-fs-balanced - eval/macro_recall__MAX","deberta-mlm-large_prompt-based-pure-balanced - eval/macro_recall","deberta-mlm-large_prompt-based-pure-balanced - eval/macro_recall__MIN","deberta-mlm-large_prompt-based-pure-balanced - eval/macro_recall__MAX","deberta-mlm-large_prompt-based-balanced - eval/macro_recall","deberta-mlm-large_prompt-based-balanced - eval/macro_recall__MIN","deberta-mlm-large_prompt-based-balanced - eval/macro_recall__MAX","deberta-large_prompt-based-balanced - eval/macro_recall","deberta-large_prompt-based-balanced - eval/macro_recall__MIN","deberta-large_prompt-based-balanced - eval/macro_recall__MAX","mlm-large_prompt-based-balanced - eval/macro_recall","mlm-large_prompt-based-balanced - eval/macro_recall__MIN","mlm-large_prompt-based-balanced - eval/macro_recall__MAX","mlm-large_prompt-based - eval/macro_recall","mlm-large_prompt-based - eval/macro_recall__MIN","mlm-large_prompt-based - eval/macro_recall__MAX","mlm-large_fine-tune - eval/macro_recall","mlm-large_fine-tune - eval/macro_recall__MIN","mlm-large_fine-tune - eval/macro_recall__MAX","mlm_fine-tune - eval/macro_recall","mlm_fine-tune - eval/macro_recall__MIN","mlm_fine-tune - eval/macro_recall__MAX"
"0","","","","","","","","","","","","","","","","","","","0.0005822416302765648","0.0005822416302765648","0.0005822416302765648","0","0","0"
"2","","","","","","","","","","","","","","","","","","","0.19995049994845032","0.19995049994845032","0.19995049994845032","0","0","0"
"4","","","","","","","","","","","","","","","","","","","0.28019491165782184","0.28019491165782184","0.28019491165782184","0.11565451861511636","0.11565451861511636","0.11565451861511636"
"6","","","","","","","","","","","","","","","","","","","0.3118388688568146","0.3118388688568146","0.3118388688568146","0.1857930389118758","0.1857930389118758","0.1857930389118758"
"8","","","","","","","","","","","","","","","","","","","0.34167323022819385","0.34167323022819385","0.34167323022819385","0.24475936817057464","0.24475936817057464","0.24475936817057464"
"10","","","","","","","","","","","","","","","","","","","0.35473067361489546","0.35473067361489546","0.35473067361489546","0.24566008701197456","0.24566008701197456","0.24566008701197456"
"12","","","","","","","","","","","","","","","","","","","0.3432779888514314","0.3432779888514314","0.3432779888514314","0.26127454024330576","0.26127454024330576","0.26127454024330576"
"14","","","","","","","","","","","","","","","","","","","0.39099787875471886","0.39099787875471886","0.39099787875471886","0.2983848769620202","0.2983848769620202","0.2983848769620202"
"16","","","","","","","","","","","","","","","","","","","0.370741181647794","0.370741181647794","0.370741181647794","0.31297836547792535","0.31297836547792535","0.31297836547792535"
"18","","","","","","","","","","","","","","","","","","","0.37383730682022515","0.37383730682022515","0.37383730682022515","0.2925469286420315","0.2925469286420315","0.2925469286420315"
