"Step","deberta-mlm-large_prompt-based-balanced - eval/micro_f1","deberta-mlm-large_prompt-based-balanced - eval/micro_f1__MIN","deberta-mlm-large_prompt-based-balanced - eval/micro_f1__MAX","deberta-large_prompt-based-balanced - eval/micro_f1","deberta-large_prompt-based-balanced - eval/micro_f1__MIN","deberta-large_prompt-based-balanced - eval/micro_f1__MAX","mlm-large_prompt-based-balanced - eval/micro_f1","mlm-large_prompt-based-balanced - eval/micro_f1__MIN","mlm-large_prompt-based-balanced - eval/micro_f1__MAX","mlm-large_prompt-based - eval/micro_f1","mlm-large_prompt-based - eval/micro_f1__MIN","mlm-large_prompt-based - eval/micro_f1__MAX","mlm-large_fine-tune - eval/micro_f1","mlm-large_fine-tune - eval/micro_f1__MIN","mlm-large_fine-tune - eval/micro_f1__MAX","mlm_fine-tune - eval/micro_f1","mlm_fine-tune - eval/micro_f1__MIN","mlm_fine-tune - eval/micro_f1__MAX"
"0","","","","","","","","","","","","","0.0025129574367834147","0.0025129574367834147","0.0025129574367834147","NaN","",""
"2","","","","","","","","","","","","","0.4453863710466254","0.4453863710466254","0.4453863710466254","NaN","",""
"4","","","","","","","","","","","","","0.5141424272818456","0.5141424272818456","0.5141424272818456","0.332939787485242","0.332939787485242","0.332939787485242"
"6","","","","","","","","","","","","","0.5455599574838148","0.5455599574838148","0.5455599574838148","0.41939393939393943","0.41939393939393943","0.41939393939393943"
"8","","","","","","","","","","","","","0.5616958252337313","0.5616958252337313","0.5616958252337313","0.48289284982585534","0.48289284982585534","0.48289284982585534"
"10","","","","","","","","","","","","","0.5644464859898943","0.5644464859898943","0.5644464859898943","0.4830079537237889","0.4830079537237889","0.4830079537237889"
"12","","","","","","","","","","","","","0.5578332251182637","0.5578332251182637","0.5578332251182637","0.4892842701172665","0.4892842701172665","0.4892842701172665"
"14","","","","","","","","","","","","","0.5761439049947606","0.5761439049947606","0.5761439049947606","0.5222760520566163","0.5222760520566163","0.5222760520566163"
"16","","","","","","","","","","","","","0.5638146167557931","0.5638146167557931","0.5638146167557931","0.5262455939792321","0.5262455939792321","0.5262455939792321"
"18","","","","","","","","","","","","","0.5653894585357078","0.5653894585357078","0.5653894585357078","0.5076191400562943","0.5076191400562943","0.5076191400562943"
"20","","","","","","","","","","","","","0.5635751019684341","0.5635751019684341","0.5635751019684341","0.5332846315404987","0.5332846315404987","0.5332846315404987"
